name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
金洲管道,钢铁行业,36.23,12.66,29.36,5.2,7.0,23.98,29.92,25
华达新材,钢铁行业,38.97,15.53,43.3,5.2,6.4,24.06,30.06,24
百甲科技,钢铁行业,5.84,5.91,66.78,4.0,6.6,20.27,23.73,45
湖南投资,铁路公路,27.01,3.09,29.81,5.2,7.6,31.87,33.4,27
大众交通,铁路公路,79.2,5.4,44.18,6.4,9.6,36.9,40.65,20
招商公路,铁路公路,569.66,8.02,38.93,5.8,12.2,74.47,94.77,2
四川成渝,铁路公路,132.41,6.67,56.68,6.4,10.2,41.0,46.56,13
东莞控股,铁路公路,103.43,13.09,38.1,4.6,4.6,46.65,54.7,10
申通地铁,铁路公路,41.05,4.16,43.99,5.8,7.2,32.58,34.43,26
外服控股,铁路公路,141.13,16.98,61.64,6.4,9.4,52.97,63.8,5
海汽集团,铁路公路,60.51,-0.47,46.74,0.8,6.6,25.11,23.66,29
中原高速,铁路公路,86.75,4.98,75.11,2.4,9.2,34.16,36.7,24
赣粤高速,铁路公路,91.55,5.66,49.23,4.6,9.0,37.01,40.81,19
宁沪高速,铁路公路,470.02,13.4,45.43,6.4,14.6,78.1,100.0,1
五洲交通,铁路公路,48.91,14.31,54.08,7.6,9.0,45.8,53.48,11
山西路桥,铁路公路,75.57,6.02,77.18,5.8,9.8,35.78,39.03,22
粤高速Ａ,铁路公路,158.06,15.19,41.81,5.2,3.8,51.72,61.99,7
天宸股份,铁路公路,90.37,3.29,20.72,4.6,7.0,35.43,38.53,23
山东高速,铁路公路,315.59,9.19,60.04,8.8,10.2,58.06,71.13,3
皖通高速,铁路公路,167.52,10.95,34.78,7.6,8.8,49.98,59.49,8
重庆路桥,铁路公路,65.52,5.97,39.91,1.4,9.6,36.7,40.36,21
德新科技,铁路公路,67.93,14.8,27.53,0.8,8.0,47.62,56.09,9
深高速,铁路公路,210.01,15.23,55.11,7.0,9.8,56.59,69.02,4
三峡旅游,铁路公路,41.26,3.31,38.71,5.2,7.2,31.7,33.16,28
吉林高速,铁路公路,48.97,6.57,34.87,8.2,7.6,37.49,41.5,18
现代投资,铁路公路,66.18,7.05,71.76,8.2,10.0,37.5,41.51,17
楚天高速,铁路公路,67.46,8.6,51.21,5.8,9.8,40.17,45.36,14
锦江在线,铁路公路,55.49,8.03,22.39,5.8,6.4,39.88,44.94,15
江西长运,铁路公路,16.39,-11.49,73.93,5.8,7.0,8.68,0.0,30
城发环境,铁路公路,83.02,20.18,66.34,5.8,9.0,51.95,62.34,6
龙江交通,铁路公路,45.27,5.58,10.57,5.2,9.8,38.32,42.7,16
福建高速,铁路公路,90.84,7.56,27.15,5.8,9.2,41.44,47.18,12
富临运业,铁路公路,22.85,5.44,49.7,7.0,6.8,33.48,35.72,25
兰州银行,银行,181.12,7.36,92.88,5.8,13.2,8.71,3.19,41
平安银行,银行,2392.75,11.12,92.13,7.6,16.0,20.72,19.1,14
青农商行,银行,171.67,10.88,92.3,4.0,11.8,10.53,5.61,37
招商银行,银行,8746.24,16.63,91.22,7.0,17.8,53.87,62.97,5
西安银行,银行,176.44,10.99,91.95,4.6,14.2,12.39,8.06,32
厦门银行,银行,150.96,11.13,93.41,4.0,13.8,12.02,7.58,35
长沙银行,银行,330.17,14.42,93.31,4.6,11.4,16.63,13.68,19
江苏银行,银行,1125.13,12.88,92.87,7.6,17.6,19.93,18.04,15
宁波银行,银行,1856.27,16.58,92.64,6.4,11.8,23.48,22.75,10
渝农商行,银行,445.19,11.06,91.71,7.0,11.2,12.82,8.64,30
张家港行,银行,101.32,10.21,91.47,5.2,13.2,10.93,6.14,36
沪农商行,银行,569.02,12.0,92.0,3.8,16.6,15.63,12.36,22
苏农银行,银行,82.94,9.16,91.52,7.0,14.8,12.26,7.89,33
中国银行,银行,11392.81,11.24,91.34,9.4,12.2,64.08,76.49,4
郑州银行,银行,215.48,7.68,91.26,4.6,11.4,6.3,0.0,42
苏州银行,银行,262.54,10.07,92.07,6.4,14.8,12.83,8.64,29
常熟银行,银行,197.62,11.83,91.22,8.8,10.6,14.93,11.42,23
