id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
688293,奥浦迈,9.39,11.44,4.53,-14.50,-55.87,6.95,24.71,10.68,50.28,36.85
301228,实朴检测,-1.99,12.62,13.65,36.18,27.25,21.71,34.21,34.29,31.22,40.15
301080,百普赛斯,8.13,27.41,78.63,13.79,16.80,6.11,3.1,10.45,14.21,12.17
688179,阿拉丁,9.97,10.74,17.11,19.08,17.28,33.98,7.92,5.42,11.37,11.43
301166,优宁维,4.02,22.46,20.84,22.40,23.28,12.96,9.72,31.49,34.75,44.48
300887,谱尼测试,10.46,11.53,16.88,15.09,18.31,22.46,27.36,13.84,32.21,30.63
301257,普蕊斯,11.39,29.00,24.41,54.26,56.30,17.98,43.39,42.6,38.0,49.50
300938,信测标准,11.03,8.54,15.73,22.95,25.23,18.92,19.2,15.98,13.3,15.19
2967,广电计量,5.34,6.81,14.55,18.36,15.67,35.81,34.28,47.21,47.39,60.21
603776,永安行,-2.02,1.31,16.86,20.26,7.33,29.24,29.43,31.05,31.69,34.90
300384,三联虹普,10.73,9.41,8.69,10.59,6.96,35.54,32.58,31.49,34.93,37.26
300012,华测检测,18.18,18.17,16.75,16.29,10.28,27.09,29.62,29.72,27.64,31.64
300572,安车检测,-1.47,0.58,20.26,24.78,20.34,23.12,20.22,36.23,42.4,37.83
301306,西测测试,8.89,20.66,20.94,18.59,10.74,11.65,33.28,30.51,35.48,46.51
688133,泰坦科技,6.35,9.53,13.82,17.79,19.09,30.34,37.68,21.41,39.47,40.97
2878,元隆雅图,17.84,13.66,21.61,17.82,16.74,42.27,47.1,40.73,44.19,36.48
873122,中纺标,12.66,13.85,16.55,21.02,14.32,12.3,15.17,11.79,22.19,13.35
603060,国检集团,15.20,17.15,17.19,16.77,18.57,45.17,43.44,29.09,23.52,19.94
603698,航天工程,5.43,5.24,6.29,5.67,8.80,35.28,33.39,32.96,28.97,27.57
2564,*ST天沃,,-32.27,-37.54,1.14,2.23,109.05,92.14,89.84,85.86,83.15
300215,电科院,1.69,10.20,4.36,8.07,6.37,41.48,48.1,55.32,41.82,44.50
871753,天纺标,11.16,13.56,35.33,19.71,21.70,6.73,11.9,7.82,15.22,15.16
603183,建研院,7.13,10.35,11.22,10.93,9.68,25.24,24.14,22.01,26.76,26.03
301169,零点有数,-1.59,11.31,15.51,13.02,13.75,20.72,15.71,28.43,31.93,33.11
300962,中金辐照,12.43,11.27,9.78,9.68,9.04,14.24,12.41,13.78,17.46,18.65
3035,南网能源,8.91,8.48,9.31,9.84,14.83,54.24,52.66,56.12,49.45,71.33
300416,苏试试验,14.59,17.92,13.31,11.00,10.84,43.85,50.96,55.99,58.4,39.90
831039,国义招标,11.57,15.23,16.03,14.91,12.76,34.94,29.88,41.0,40.97,46.00
301115,建科股份,11.43,23.42,21.98,17.45,5.09,19.0,41.93,41.08,46.29,52.69
688334,西高院,7.31,9.14,9.15,17.46,,17.93,20.83,46.6,47.68,
3008,开普检测,6.69,6.37,13.50,32.80,41.43,7.93,5.41,5.06,10.6,25.23
301289,国缆检测,11.40,20.74,19.29,21.61,25.75,17.94,35.66,29.27,19.51,16.40
300797,钢研纳克,12.70,10.39,10.25,14.50,17.31,41.61,38.31,28.82,27.86,40.67
301519,舜禹股份,15.24,17.37,18.65,13.48,11.72,60.68,57.03,56.5,52.51,39.91
2535,林州重机,4.27,-70.44,4.63,-111.69,-4.39,90.0,89.89,82.68,83.32,62.62
688630,芯碁微装,13.64,13.72,19.05,29.04,28.10,32.17,26.31,34.37,27.88,32.97
688290,景业智能,15.48,28.08,40.45,39.21,70.95,23.7,55.48,46.1,44.85,71.64
301338,凯格精机,16.16,27.83,29.08,26.16,29.77,24.56,52.01,52.32,61.8,62.48
688097,博众精工,12.40,9.15,14.79,21.23,34.75,50.41,56.82,58.6,44.11,59.50
300751,迈为股份,14.15,24.74,25.93,20.00,37.99,55.74,40.21,62.7,66.16,58.01
300757,罗博特科,3.04,-6.81,-9.13,14.77,35.59,60.12,57.87,59.86,47.72,63.92
301030,仕净科技,8.97,6.36,7.72,10.38,11.91,69.89,57.64,52.49,45.85,57.87
2837,英维克,14.14,13.23,13.75,13.77,11.92,47.86,46.44,50.24,46.97,49.71
871478,巨能股份,30.94,34.72,50.60,23.56,-5.40,58.77,73.03,76.71,79.58,81.06
300619,金银河,8.00,5.43,2.44,8.73,10.61,70.51,66.39,64.17,55.73,55.55
2698,博实股份,14.70,18.02,16.83,14.17,9.15,46.2,37.82,40.67,41.27,38.06
688310,迈得医疗,8.51,8.64,8.21,16.61,24.02,20.1,13.27,9.84,12.12,22.94
688646,C逸飞,18.00,14.43,5.27,-16.92,,57.76,50.99,63.82,60.73,
300724,捷佳伟创,15.64,14.30,18.66,16.01,22.01,62.36,51.47,67.31,61.66,49.88
688147,微导纳米,5.95,6.43,21.44,119.98,-231.55,48.61,34.89,41.57,60.61,96.33
835368,连城数控,16.58,15.57,24.73,16.44,24.91,60.16,36.61,44.16,47.35,55.60
301260,格力博,18.78,24.06,103.04,-195.83,84.06,76.18,74.03,73.68,99.93,105.88
2334,英威腾,13.10,10.04,8.42,-17.33,12.66,52.49,46.35,41.21,41.78,41.02
300813,泰林生物,13.25,13.52,11.62,16.24,28.26,29.83,24.16,17.73,14.16,23.68
300412,迦南科技,-6.94,8.66,8.40,6.54,4.33,56.66,48.66,49.55,44.7,38.51
688392,骄成超声,15.37,31.30,46.45,6.74,22.57,18.14,45.47,60.67,28.67,21.17
603283,赛腾股份,20.51,13.89,16.51,14.36,17.72,63.92,61.86,61.81,50.67,45.28
301013,利和兴,-4.58,6.25,15.11,19.98,19.21,36.53,29.93,23.68,36.45,41.56
2957,科瑞技术,11.96,1.41,12.07,13.79,20.07,50.22,43.17,22.46,20.71,27.59
