公司名称,公司代码,高管姓名,高管性别,高管年龄,高管学历,高管薪酬,高管职务
吉贝尔,688566,李腊梅,女,50,中专,17.25万,股东代表监事
吉贝尔,688566,陈进,男,45,本科,16.70万,职工代表监事
吉贝尔,688566,赵锁富,男,56,专科学历,69.21万,财务总监
贝达药业,300558,丁列明,男,60,博士,295.6万,"董事长,总经理,首席执行官,法定代表人,非独立董事"
贝达药业,300558,万江,男,55,硕士,256.4万,"资深副总裁,非独立董事,首席运营官"
贝达药业,300558,JIABING WANG(王家炳),男,60,博士,257.5万,"资深副总裁,非独立董事"
贝达药业,300558,范建勋,男,52,硕士,136.1万,"副总裁,非独立董事,财务总监,首席财务官"
贝达药业,300558,蔡万裕,男,61,大学学历,141.7万,资深副总裁
贝达药业,300558,童佳,女,46,硕士,135.1万,非独立董事
贝达药业,300558,余治华,男,56,硕士,--,非独立董事
贝达药业,300558,TIAN XU(许田),男,61,博士,--,非独立董事
贝达药业,300558,吴灵犀,男,40,硕士,100.5万,董事会秘书
贝达药业,300558,汪炜,男,56,博士,12.00万,独立董事
贝达药业,300558,JIANGNAN CAI(蔡江南),男,66,博士,12.00万,独立董事
贝达药业,300558,黄欣琪,女,52,硕士,12.00万,独立董事
贝达药业,300558,肖佳佳,女,40,硕士,2.510万,独立董事
贝达药业,300558,张洋南,男,52,硕士,87.06万,"监事会主席,股东代表监事"
贝达药业,300558,汪溶,女,60,本科,--,股东代表监事
贝达药业,300558,吴飞,男,46,硕士,86.04万,职工代表监事
东亚药业,605177,池正明,男,66,大专,179.8万,"董事长,法定代表人,非独立董事"
东亚药业,605177,池骋,男,39,本科,110.9万,"总经理,非独立董事"
东亚药业,605177,陈灵芝,女,47,本科,64.61万,副经理
东亚药业,605177,夏道敏,男,60,大专,108.3万,"副经理,非独立董事"
东亚药业,605177,钱江犁,男,55,本科,8.000万,非独立董事
东亚药业,605177,贾飞龙,男,39,本科,60.00万,董事会秘书
东亚药业,605177,崔孙良,男,41,博士,8.000万,独立董事
东亚药业,605177,綦方中,男,54,博士,8.000万,独立董事
东亚药业,605177,冯燕,女,60,本科,8.000万,独立董事
东亚药业,605177,徐菁,女,38,本科,12.50万,"监事会主席,非职工代表监事"
东亚药业,605177,李日生,男,48,硕士,36.57万,非职工代表监事
东亚药业,605177,刘文斌,男,53,大专,16.72万,职工代表监事
东亚药业,605177,王小敏,女,52,本科,66.79万,财务负责人
苑东生物,688513,王颖,女,58,硕士,129.2万,"董事长,法定代表人,非独立董事"
苑东生物,688513,袁明旭,男,52,硕士,139.5万,"总经理,非独立董事"
苑东生物,688513,张大明,男,51,硕士,98.57万,"副总经理,非独立董事"
苑东生物,688513,赵磊,男,52,硕士,34.77万,"副总经理,非独立董事"
苑东生物,688513,宋兴尧,男,47,硕士,78.43万,副总经理
苑东生物,688513,HONG CHEN,男,59,博士,335.2万,副总经理
苑东生物,688513,TIAN RONGLIN,男,57,硕士,319.9万,副总经理
苑东生物,688513,关正品,男,50,本科,94.11万,副总经理
苑东生物,688513,陈增贵,男,52,硕士,162.7万,"副总经理,非独立董事"
苑东生物,688513,耿鸿武,男,55,本科,24.18万,非独立董事
苑东生物,688513,李淑云,女,38,硕士,--,董事会秘书
苑东生物,688513,彭龙,男,59,博士,--,独立董事
苑东生物,688513,方芳,女,41,博士,24.00万,独立董事
苑东生物,688513,JIN LI,男,58,博士,24.00万,独立董事
苑东生物,688513,朱家裕,男,43,硕士,70.72万,"监事会主席,股东代表监事"
苑东生物,688513,邓鹏飞,男,37,本科,37.70万,股东代表监事
苑东生物,688513,韩琳,女,49,本科,--,职工代表监事
苑东生物,688513,伯小芹,女,41,本科,10.70万,财务总监
金迪克,688670,余军,男,54,本科,128.4万,"董事长,总经理,法定代表人,非独立董事"
金迪克,688670,樊长勇,男,44,硕士,87.83万,"副总经理,董事会秘书"
金迪克,688670,任晚琼,女,53,硕士,88.41万,副总经理
金迪克,688670,夏建国,男,50,本科,88.42万,"副总经理,非独立董事"
金迪克,688670,田国雄,男,44,本科,131.8万,副总经理
金迪克,688670,聂申钱,男,75,大专,0.000,非独立董事
金迪克,688670,张良斌,男,48,本科,0.000,非独立董事
金迪克,688670,邵蓉,女,61,博士,12.00万,独立董事
金迪克,688670,管建强,男,65,博士,12.00万,独立董事
金迪克,688670,程华,女,44,博士,12.00万,独立董事
金迪克,688670,魏大昌,男,54,大专,62.03万,"监事会主席,非职工代表监事"
金迪克,688670,黄玲,女,57,本科,12.00万,非职工代表监事
金迪克,688670,余晖晟,男,27,大专,7.190万,职工代表监事
金迪克,688670,黄强,男,43,本科,61.69万,财务总监
兴齐眼药,300573,刘继东,男,66,本科,600.0万,"董事长,法定代表人,非独立董事"
兴齐眼药,300573,高峨,女,49,本科,166.0万,"总经理,非独立董事"
兴齐眼药,300573,张少尧,男,53,大专,166.0万,"副董事长,副总经理,非独立董事,董事会秘书"
兴齐眼药,300573,杨强,男,39,博士,107.5万,"副总经理,非独立董事"
兴齐眼药,300573,程亚男,女,49,本科,139.9万,"非独立董事,财务总监"
兴齐眼药,300573,黎春华,男,46,本科,165.5万,非独立董事
兴齐眼药,300573,王忠诚,男,47,硕士,9.360万,独立董事
兴齐眼药,300573,李地,男,67,大专,9.360万,独立董事
兴齐眼药,300573,戴晓滨,男,66,本科,9.360万,独立董事
兴齐眼药,300573,徐啟,女,33,本科,17.81万,"监事会主席,监事"
兴齐眼药,300573,曲晓禹,女,36,本科,15.72万,监事
兴齐眼药,300573,高钰晗,女,37,本科,18.03万,职工代表监事
永安药业,002365,陈勇,男,64,硕士,375.7万,"董事长,法定代表人,董事"
永安药业,002365,洪仁贵,男,40,大专,245.3万,"总经理,董事"
永安药业,002365,董世豪,男,52,大专,189.9万,副总经理
永安药业,002365,丁红莉,女,57,硕士,127.5万,"副总经理,董事"
永安药业,002365,方锡权,男,59,本科,259.5万,副总经理
永安药业,002365,王志华,男,52,大专,115.7万,副总经理
永安药业,002365,熊盛捷,男,55,硕士,109.3万,"董事会秘书,财务总监"
永安药业,002365,赵纯祥,男,45,博士,8.000万,独立董事
永安药业,002365,韩建涛,男,49,博士,8.000万,独立董事
永安药业,002365,张冰,男,63,博士,8.000万,独立董事
永安药业,002365,吴玉熙,男,63,大专,117.3万,"监事会主席,股东代表监事"
永安药业,002365,段伟林,男,49,本科,35.40万,职工代表监事
永安药业,002365,吴旭,男,45,大专,22.80万,职工代表监事
立方制药,003020,季俊虬,男,62,本科,76.38万,"董事长,法定代表人,非独立董事"
立方制药,003020,崔欢喜,男,44,本科,--,总经理
立方制药,003020,邓晓娟,女,59,硕士,76.63万,"副董事长,非独立董事"
立方制药,003020,许学余,男,59,本科,50.09万,副总经理
立方制药,003020,夏军,男,41,本科,45.56万,"副总经理,董事会秘书"
立方制药,003020,王清,女,56,硕士,59.66万,"副总经理,非独立董事"
立方制药,003020,戴天鹤,男,46,本科,62.65万,副总经理
立方制药,003020,陈军,男,61,博士,50.38万,"非独立董事,研发总监"
立方制药,003020,李进华,男,61,博士,2.400万,独立董事
立方制药,003020,杨模荣,男,57,博士,7.200万,独立董事
立方制药,003020,周世虹,男,60,硕士,7.200万,独立董事
立方制药,003020,汪琴,女,51,大专,44.03万,"监事会主席,非职工代表监事"
立方制药,003020,陈秋华,女,32,本科,9.000万,非职工代表监事
立方制药,003020,金明,男,57,大专,15.24万,职工代表监事
立方制药,003020,勾绍兵,男,47,本科,47.10万,财务总监
微芯生物,688321,XIANPING LU,男,60,博士,310.4万,"董事长,总经理,法定代表人,非独立董事"
微芯生物,688321,佘亮基,男,58,大专,97.54万,副总经理
微芯生物,688321,李志斌,男,59,博士,118.2万,副总经理
微芯生物,688321,海鸥,女,45,本科,109.3万,"副总经理,非独立董事,董事会秘书"
微芯生物,688321,黎建勋,男,52,大专,116.9万,"副总经理,非独立董事,财务负责人"
微芯生物,688321,潘德思,男,53,博士,146.9万,副总经理
微芯生物,688321,张丽滨,男,51,大专,123.7万,副总经理
微芯生物,688321,杨晗鹏,男,56,硕士,9.600万,非独立董事
微芯生物,688321,宋瑞霖,男,60,博士,15.00万,独立董事
微芯生物,688321,黎翔燕,女,44,本科,15.00万,独立董事
微芯生物,688321,朱迅,男,65,博士,15.00万,独立董事
微芯生物,688321,何杰,男,38,硕士,63.68万,"监事会主席,职工代表监事"
微芯生物,688321,谢峥生,男,57,硕士,9.600万,股东代表监事
微芯生物,688321,仝胜利,男,56,硕士,5.600万,非职工代表监事
微芯生物,688321,朱静忠,男,47,本科,28.85万,职工代表监事
微芯生物,688321,金霞,女,46,本科,34.70万,职工代表监事
奥锐特,605116,彭志恩,男,50,本科,124.0万,"董事长,法定代表人,非独立董事"
奥锐特,605116,褚定军,男,50,本科,168.3万,"总经理,非独立董事"
奥锐特,605116,褚义舟,男,65,专科学历,75.84万,"副董事长,非独立董事"
奥锐特,605116,王国平,男,57,博士,165.0万,"副总经理,非独立董事"
奥锐特,605116,赵珍平,男,50,大专,87.54万,副总经理
奥锐特,605116,陈杰明,男,49,本科,82.62万,副总经理
奥锐特,605116,信铭雁,女,54,大专,77.13万,副总经理
奥锐特,605116,王袖玉,女,42,本科,73.83万,"副总经理,财务总监"
奥锐特,605116,张丽琴,女,47,本科,124.6万,副总经理
奥锐特,605116,邱培静,女,57,本科,99.48万,非独立董事
奥锐特,605116,李金亮,男,51,博士,--,非独立董事
奥锐特,605116,李芳芳,女,51,硕士,103.9万,董事会秘书
奥锐特,605116,苏为科,男,62,博士,--,独立董事
奥锐特,605116,钟永成,男,59,本科,--,独立董事
奥锐特,605116,陈应春,男,51,博士,--,独立董事
奥锐特,605116,金平,男,68,高中,80.08万,"监事会主席,股东代表监事"
奥锐特,605116,杨航,男,40,本科,53.50万,股东代表监事
奥锐特,605116,杨丽微,女,43,本科,29.81万,职工代表监事
上海谊众,688091,周劲松,男,55,硕士,47.92万,"董事长,总经理,法定代表人,非独立董事"
上海谊众,688091,孙菁,女,46,硕士,20.92万,"副总经理,非独立董事"
上海谊众,688091,张文明,男,39,硕士,--,副总经理
上海谊众,688091,李端,男,83,本科,30.82万,"副总经理,非独立董事"
上海谊众,688091,杜学航,男,55,本科,--,非独立董事
上海谊众,688091,方舟,男,35,本科,17.36万,董事会秘书
上海谊众,688091,熊焰韧,女,51,博士,--,独立董事
上海谊众,688091,孙春萌,男,38,博士,--,独立董事
上海谊众,688091,胡改蓉,女,46,博士,--,独立董事
上海谊众,688091,潘若鋆,女,42,博士,--,"监事会主席,非职工代表监事"
