公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
603156,养元饮品,12.51,17.56,13.13,22.85,27.00,23.54,21.53,21.43,17.85,21.72
603235,天新药业,21.78,48.56,52.76,43.44,74.53,13.29,35.35,60.30,50.53,50.36
523,广州浪奇,-7.13,0.00,-1826.98,-8.39,-6.34,58.50,62.21,195.66,79.15,70.73
2840,华统股份,4.19,-12.09,8.44,9.51,12.17,62.29,70.37,55.41,44.91,33.85
605089,味知香,11.53,28.98,38.03,38.65,49.56,6.97,4.40,8.34,12.30,16.52
2847,盐津铺子,30.65,18.14,27.59,18.21,11.45,53.23,57.56,57.19,53.04,44.46
300858,科拓生物,11.11,11.46,15.33,26.41,30.20,5.31,7.05,6.67,14.19,19.24
300025,华星创业,3.07,-7.94,-37.55,-34.62,1.46,28.15,62.83,66.21,70.27,61.67
603559,ST通脉,-34.11,-51.00,-0.11,1.94,6.85,70.89,64.53,53.00,51.83,45.97
300959,线上线下,4.37,9.28,29.48,28.65,36.13,12.83,3.43,24.90,21.65,12.93
300292,吴通控股,1.62,5.07,-43.86,4.48,-54.97,49.63,52.91,58.57,39.98,37.74
889,ST中嘉,-26.42,-149.58,0.86,-41.88,8.54,79.84,77.07,36.99,40.56,32.35
2544,普天科技,5.79,3.99,4.53,1.77,0.66,60.34,57.24,60.13,71.67,69.86
688682,霍莱沃,8.10,13.19,24.74,27.81,52.88,25.21,26.41,42.82,38.81,49.30
2093,国脉科技,2.03,2.84,2.40,3.28,4.21,18.23,17.15,16.69,24.17,30.00
600941,中国移动,10.10,10.10,9.80,10.20,11.74,33.37,34.94,33.98,32.75,31.99
601698,中国卫通,7.13,4.85,4.26,4.24,4.39,14.39,17.44,15.67,15.68,21.05
2148,北纬科技,1.43,4.86,1.47,-2.64,3.53,9.05,9.26,8.66,9.17,7.90
300603,立昂技术,-44.98,-46.00,-47.12,5.83,9.36,66.59,58.85,43.56,35.19,67.02
600289,ST信通,-22.84,-12.24,-66.74,--,--,34.69,30.51,36.37,70.11,128.55
600050,中国联通,4.67,4.17,3.73,3.45,2.86,46.13,43.33,43.09,42.67,41.50
2231,奥维通信,-14.13,5.69,-32.54,8.35,-21.45,39.69,40.76,42.53,23.48,28.84
688081,兴图新科,-12.51,-6.53,4.56,23.18,24.50,11.91,10.91,9.29,15.43,28.18
300513,恒实科技,1.31,-7.59,4.27,6.69,6.83,40.89,35.03,31.41,31.41,25.76
603602,纵横通信,2.91,2.42,2.31,5.60,6.78,52.86,55.74,53.86,41.29,37.58
2929,润建股份,10.55,10.41,8.08,8.41,8.84,64.96,61.23,52.32,40.92,32.79
2467,二六三,1.43,1.46,15.74,8.72,4.63,15.65,15.49,16.58,20.67,22.00
603206,嘉环科技,12.83,26.60,27.72,25.60,26.93,53.90,68.61,69.21,73.07,81.82
